Year,Emigration,Immigration,Net
1966,28843,2228,-26615
1967,19870,2134,-17736
1968,19368,2202,-17166
1969,22117,1948,-20169
1970,14099,1929,-12170
1971,30160,1685,-28475
1972,19080,1802,-17278
1973,12976,1470,-11506
1974,11848,1395,-10453
1975,9592,1763,-7829
1976,26657,1791,-24866
1977,28858,1566,-27292
1978,29504,1549,-27955
1979,34181,1688,-32493
1980,22724,1565,-21159
1981,23750,1418,-22332
1982,32038,900,-31138
1983,26381,540,-25841
1984,17401,1559,-15842
1985,20578,1623,-18955
1986,29008,1881,-27127
1987,36436,1856,-34580
1988,36291,2052,-34239
1989,26645,2230,-24415
1990,18440,2626,-15814
1991,20977,5040,-15937
1992,18115,6512,-11603
1993,21376,5871,-15505
1994,25904,6904,-19000
1995,26344,8121,-18223
1996,21297,8186,-13111
1997,20222,8426,-11796
1998,22177,8916,-13261
1999,21536,7525,-14011
2000,26999,7331,-19668
2001,23368,6625,-16743
2002,24532,6587,-17945
2003,20813,7048,-13765
2004,18877,9495,-9382
2005,22242,9364,-12878
2006,46936,10802,-36134
2007,35480,14995,-20485
2008,30140,15275,-14865
2009,18620,17424,-1196
2010,17360,15246,-2114
2011,19858,15524,-4334
2012,21200,14583,-6617
2013,32103,12199,-19904
2014,28080,12330,-15750
2015,,,
2016,11970,13475,1505
2017,11888,13324,1436
2018,11849,15461,3612
2019,10726,16909,6183
2020,8780,13263,4483
2021,12005,15409,3404
2022,13633,15572,1939
2023,9941,16707,6766
2024,10214,19515,9301
